Feature1,Feature2,Cluster
-9.297688656176254,6.473678546033911,3
-9.698741121919962,6.938967371268878,3
-1.686652710949561,7.793442478227301,0
-7.097308394378491,-5.7813327412887565,2
-10.876452291813864,6.315436604581299,3
-6.02196756794925,-7.040048123239374,2
4.813059762079283,2.358487063669569,1
-6.4666957368756455,-7.443834146079921,2
-2.9883718608980403,8.828627151534507,0
3.448575339025453,2.6297232925745617,1
-3.110904235282147,10.866564312707261,0
4.996894322193149,1.2802600886800777,1
-2.300334028047995,7.0546160043185475,0
-3.9245683651031644,8.593640805432964,0
-9.488970325757837,6.836397531734007,3
-3.2112507169301026,8.686623981600555,0
-10.465870194519173,7.371607862160086,3
2.614736249570494,2.1596239987101598,1
-2.4121200737047097,9.982931118731212,0
-1.9223405292524798,11.204741754008301,0
5.798474415235505,1.1524873655890215,1
-2.6704833347187593,9.418336985012862,0
-5.904507457733519,-7.027166974778085,2
-8.95065580632684,7.102553315965481,3
-2.9726153158652124,8.548556374628067,0
-8.308523578720727,8.765091536156604,3
-9.415099087204343,8.078914141324459,3
-7.697847874384743,-4.787722317590486,2
-6.891873963998185,-7.777363964761778,2
3.750364406602578,1.1573593989752937,1
-3.4997339481834384,8.447988398595552,0
3.5689863381669893,2.455642099183917,1
-8.007991940091765,6.467439089589836,3
4.853972580358305,0.727430905228744,1
-10.353518818834562,8.690397182943228,3
-2.281737688448621,10.32142888248075,0
-8.081339139990659,6.401357591321077,3
-6.634660620042547,-7.387052768647076,2
-8.945358116590569,6.288280593079329,3
-6.5378712153741105,-5.00393875406006,2
5.906789985414724,1.2655002183219513,1
-2.251647232329986,8.939840212432156,0
-9.325933980708504,6.890964727679083,3
-6.994167036403888,-5.642293281302485,2
-2.5439093927579934,7.845608090578791,0
-2.147802017544336,10.552322694664293,0
-8.766761519416617,6.845865468733587,3
4.154515288398998,2.0550438233270545,1
-8.500725094560808,6.911645949376235,3
6.225895652373453,0.735354185113883,1
-6.8038226329575435,-7.557271304788058,2
-8.846300397952628,8.80346705438873,3
-6.513028945054422,-7.819989379603302,2
-1.031303578311234,8.496015909924676,0
-5.700330007087444,-6.812591111865838,2
5.154926522534149,5.825901174595453,1
-8.443875614257713,6.902538434678441,3
5.6032549654724235,2.3859506108772304,1
4.753396181479349,2.6353003584617785,1
-2.9698363940125376,10.071408354417239,0
-8.602713198527445,8.09438810938567,3
6.772912210884368,0.021081884418230112,1
5.539478711661352,2.2804692048173414,1
-5.759446948180773,8.443097826933279,3
-7.1285913396303435,-5.9085386423215915,2
-7.778041862499628,-6.3881904217694405,2
-7.598071412403706,-7.093556744987794,2
-6.1680123130623805,-8.004751685113815,2
-8.583009630506425,-6.935657292172565,2
-3.571501336778855,9.487878558833504,0
-5.574148383996941,-6.859105751643187,2
-5.821202704301682,-8.63884907969906,2
-9.538053264628596,7.537502826232926,3
5.113116460801646,1.9003407712838591,1
-2.9013057761849077,7.550771180066205,0
-8.567870930856172,7.273284806049566,3
-8.947069291191147,-6.969229632788735,2
-7.638759852704968,-6.729715806799739,2
-3.109836312971555,8.722592378405047,0
-5.700187070429983,-7.349285245380651,2
-3.5220287433871738,9.328533460793597,0
-2.581207744633084,10.017819026090347,0
-8.33741056901163,6.345967670700152,3
-2.1779341916491863,9.989831255320683,0
-5.92920335296522,-7.45701324893835,2
-8.00263564457087,6.193816060841085,3
-7.670545694976203,7.5779437587999166,3
6.505653347372858,2.4470026048525195,1
6.405333076509198,2.3781513949016877,1
3.2622094682710103,1.035344644025609,1
-10.507733037757383,7.866883107878638,3
-2.5450236621627016,10.57892978401233,0
-8.359347930889617,7.6571850207856516,3
-1.593795505350676,9.343037237858008,0
-3.038957826819789,9.527553561311679,0
-9.391977061983193,6.125645022909855,3
